Jour,Cours,var
0,77.1181819,51.0
1,78.03636371,52.0
2,80.50909099,54.0
3,79.33636372,53.0
4,78.86363644,53.0
5,80.00000008,53.0
6,79.93636372,53.0
7,80.78181826,54.0
8,80.58181826,54.0
9,80.75454554,54.0
10,81.13636372,54.0
11,81.33636372,54.0
12,82.56363645,55.0
13,81.8181819,55.0
14,81.8181819,55.0
15,80.99090917,54.0
16,80.99090917,54.0
17,81.69090917,54.0
18,79.34545462,53.0
19,81.23636372,54.0
20,80.29090917,54.0
21,80.63636372,54.0
22,80.3181819,54.0
23,80.04545463,53.0
24,79.40909099,53.0
25,77.75454553,52.0
26,76.94545462,51.0
27,77.60000008,52.0
28,77.15454553,51.0
29,78.34545462,52.0
30,79.95454553,53.0
31,79.50000008,53.0
32,77.79090917,52.0
33,76.33636371,51.0
34,74.79090917,50.0
35,76.08181826,51.0
36,74.79090917,50.0
37,75.59090917,50.0
38,75.50909098,50.0
39,76.60909099,51.0
40,75.21818189,50.0
41,76.31818189,51.0
42,75.8272728,51.0
43,75.80909098,51.0
44,76.64545462,51.0
45,74.70909098,50.0
46,74.59090917,50.0
47,75.70909098,50.0
48,75.04545462,50.0
49,74.75454553,50.0
50,74.80000007,50.0
51,75.20909098,50.0
52,76.3272728,51.0
53,76.8272728,51.0
54,77.34545462,52.0
55,77.63636371,52.0
56,77.68181826,52.0
57,78.29090917,52.0
58,77.27272735,52.0
59,78.66363644,52.0
60,78.0181819,52.0
61,77.7181819,52.0
62,77.85454553,52.0
63,78.1181819,52.0
64,77.68181826,52.0
65,78.3181819,52.0
66,78.08181826,52.0
67,79.19090917,53.0
68,79.10909099,53.0
69,78.76363644,53.0
70,78.85454553,53.0
71,78.25454553,52.0
72,78.15454553,52.0
73,77.68181826,52.0
74,77.82727281,52.0
75,77.90000008,52.0
76,78.05454553,52.0
77,78.09090917,52.0
78,78.6181819,52.0
79,77.5181819,52.0
80,79.75454553,53.0
81,79.36363644,53.0
82,78.32727281,52.0
83,78.62727281,52.0
84,77.76363644,52.0
85,78.10000008,52.0
86,77.64545462,52.0
87,76.94545462,51.0
88,76.61818189,51.0
89,76.20000008,51.0
90,76.18181826,51.0
91,76.66363644,51.0
92,76.61818189,51.0
93,76.44545462,51.0
94,77.04545462,51.0
95,77.50000008,52.0
96,77.39090917,52.0
97,77.70000008,52.0
98,76.86363644,51.0
99,77.3272728,52.0
100,77.68181826,52.0
101,77.80000008,52.0
102,79.34545462,53.0
103,76.85454553,51.0
104,76.28181826,51.0
105,75.07272735,50.0
106,75.85454553,51.0
107,75.34545462,50.0
108,76.03636371,51.0
109,77.27272735,52.0
110,74.79090917,50.0
111,74.50909098,50.0
112,73.80000007,49.0
113,75.17272735,50.0
114,74.43636371,50.0
115,74.40000007,50.0
116,76.23636371,51.0
117,74.60909098,50.0
118,75.33636371,50.0
119,77.13636371,51.0
120,77.50000008,52.0
121,77.69090917,52.0
122,78.30909099,52.0
123,78.92727281,53.0
124,78.2181819,52.0
125,78.10000008,52.0
126,78.30909099,52.0
127,77.97272735,52.0
128,78.70909099,52.0
129,79.59090917,53.0
130,79.99090917,53.0
131,78.32727281,52.0
132,79.00000008,53.0
133,79.5181819,53.0
134,80.10909099,53.0
135,78.48181826,52.0
136,79.50000008,53.0
137,77.76363644,52.0
138,78.24545462,52.0
139,77.9181819,52.0
140,78.14545462,52.0
141,79.52727281,53.0
142,79.40000008,53.0
143,78.94545462,53.0
144,78.26363644,52.0
145,77.63636371,52.0
146,77.30000008,52.0
147,77.33636371,52.0
148,77.3272728,52.0
149,76.5272728,51.0
150,76.19090917,51.0
151,76.50000008,51.0
152,75.90909099,51.0
153,77.0272728,51.0
154,77.10909099,51.0
155,76.48181826,51.0
156,76.86363644,51.0
157,79.33636372,53.0
158,78.02727281,52.0
159,79.20000008,53.0
160,79.79090917,53.0
161,79.53636372,53.0
162,79.36363644,53.0
163,80.40000008,54.0
164,80.66363644,54.0
165,80.59090917,54.0
166,80.58181826,54.0
167,80.67272735,54.0
168,80.82727281,54.0
169,81.3181819,54.0
170,80.86363644,54.0
171,79.15454553,53.0
172,79.42727281,53.0
173,80.58181826,54.0
174,80.29090917,54.0
175,80.16363644,53.0
176,79.02727281,53.0
177,80.08181826,53.0
178,80.74545463,54.0
179,80.98181826,54.0
180,80.58181826,54.0
181,80.29090917,54.0
182,81.40909099,54.0
183,81.8181819,55.0
184,82.13636372,55.0
185,80.52727281,54.0
186,80.22727281,53.0
187,79.59090917,53.0
188,80.22727281,53.0
189,79.92727281,53.0
190,78.92727281,53.0
191,80.23636372,53.0
192,79.67272735,53.0
193,79.95454553,53.0
194,80.34545463,54.0
195,79.07272735,53.0
196,77.28181826,52.0
197,76.79090917,51.0
198,75.90909099,51.0
199,76.69090917,51.0
200,77.27272735,52.0
201,78.34545462,52.0
202,78.92727281,53.0
203,78.36363644,52.0
204,78.26363644,52.0
205,79.12727281,53.0
206,78.10000008,52.0
207,79.33636372,53.0
208,79.56363644,53.0
209,80.28181826,54.0
210,80.5181819,54.0
211,80.36363644,54.0
212,80.66363644,54.0
213,80.56363644,54.0
214,80.50000008,54.0
215,80.99090917,54.0
216,81.72727281,54.0
217,81.59090917,54.0
218,81.68181826,54.0
219,81.22727281,54.0
220,81.17272735,54.0
221,81.69090917,54.0
222,82.89090917,55.0
223,82.93636372,55.0
224,83.13636372,55.0
225,83.30909099,56.0
226,82.68181826,55.0
227,82.18181826,55.0
228,82.68181826,55.0
229,82.97272736,55.0
230,83.50909099,56.0
231,83.59090917,56.0
232,84.67272736,56.0
233,84.54545463,56.0
234,84.50000008,56.0
235,85.70000009,57.0
236,84.46363645,56.0
237,84.75454554,57.0
238,84.25454554,56.0
239,86.609091,58.0
240,86.73636372,58.0
241,86.65454554,58.0
242,84.46363645,56.0
243,83.96363645,56.0
244,83.26363645,56.0
245,82.93636372,55.0
246,83.30909099,56.0
247,83.42727281,56.0
248,83.59090917,56.0
249,82.22727281,55.0
250,83.34545463,56.0
251,83.63636372,56.0
252,84.50000008,56.0
253,84.83636372,57.0
254,84.25454554,56.0
255,85.04545463,57.0
256,84.38181827,56.0
257,84.13636372,56.0
258,86.77272736,58.0
259,85.86363645,57.0
260,86.28181827,58.0
261,85.99090918,57.0
262,85.08181827,57.0
263,85.45454554,57.0
264,84.50000008,56.0
265,85.12727281,57.0
266,84.59090918,56.0
267,83.47272736,56.0
268,83.22727281,55.0
269,82.80909099,55.0
270,82.77272736,55.0
271,81.8181819,55.0
272,81.60909099,54.0
273,82.68181826,55.0
274,82.48181826,55.0
275,83.26363645,56.0
276,83.47272736,56.0
277,82.85454554,55.0
278,84.2181819,56.0
279,83.88181827,56.0
280,84.17272736,56.0
281,84.38181827,56.0
282,82.64545463,55.0
283,83.39090917,56.0
284,84.46363645,56.0
285,84.17272736,56.0
286,83.80000008,56.0
287,82.22727281,55.0
288,83.05454554,55.0
289,82.85454554,55.0
290,83.13636372,55.0
291,82.44545463,55.0
292,82.93636372,55.0
293,81.95454554,55.0
294,82.30909099,55.0
295,82.97272736,55.0
296,82.40000008,55.0
297,82.89090917,55.0
298,83.05454554,55.0
299,83.26363645,56.0
300,83.7181819,56.0
301,83.63636372,56.0
302,83.88181827,56.0
303,83.7181819,56.0
304,84.30000008,56.0
305,84.46363645,56.0
306,84.46363645,56.0
307,84.75454554,57.0
308,84.62727281,56.0
309,84.70909099,56.0
310,84.50000008,56.0
311,82.97272736,55.0
312,82.62727281,55.0
313,81.8181819,55.0
314,82.50000008,55.0
315,82.49090917,55.0
316,82.60000008,55.0
317,83.39090917,56.0
318,84.30000008,56.0
319,84.59090918,56.0
320,85.04545463,57.0
321,83.59090917,56.0
322,83.68181827,56.0
323,81.49090917,54.0
324,81.40909099,54.0
325,81.58181826,54.0
326,81.50000008,54.0
327,81.86363645,55.0
