AREA NAME,Afternoon (12:00-17:59),Evening (18:00-23:59),Late Night (00:00-05:59),Morning (06:00-11:59)
77th Street,912,945,509,693
Central,1026,1138,507,783
Devonshire,750,631,288,441
Foothill,545,478,237,376
Harbor,580,643,320,407
Hollenbeck,596,577,291,381
Hollywood,817,809,494,471
Mission,668,613,311,432
N Hollywood,825,768,417,540
Newton,761,687,408,497
Northeast,721,692,289,447
Olympic,722,819,383,560
Pacific,1011,891,482,608
Rampart,733,786,351,493
Southeast,768,768,402,497
Southwest,953,939,421,687
Topanga,753,645,295,399
Van Nuys,726,662,281,448
West LA,840,665,288,465
West Valley,682,667,329,446
Wilshire,872,734,332,476
